project_id	case_id	case_submitter_id	sample_id	sample_submitter_id	portion_id	portion_submitter_id	creation_datetime	is_ffpe	portion_number	state	weight
HCMI-CMDC	0a6a14db-ca5c-4bf9-9125-611d672bc67b	HCM-SANG-0271-D12	371a0350-a942-4a63-ac59-873da0cd1e86	HCM-SANG-0271-D12-01A-01D-A80T-32	5c78212a-4313-5804-9b4d-6cf7cf5de673	'--	'--	'--	'--	'--	'--
HCMI-CMDC	0a6a14db-ca5c-4bf9-9125-611d672bc67b	HCM-SANG-0271-D12	4d8a7679-067e-4af7-9b11-d7722adc35ba	HCM-SANG-0271-D12-85A-01R-A80W-32	2c23da2c-c1ab-55d2-8f8e-c5e25b05dc3d	'--	'--	'--	'--	'--	'--
HCMI-CMDC	0a6a14db-ca5c-4bf9-9125-611d672bc67b	HCM-SANG-0271-D12	5d4ac7e0-5a91-4e32-bf47-1febc9cc37d7	HCM-SANG-0271-D12-85A-01D-A80T-32	e185718c-0e12-5329-bbfa-5aa5eb71014c	'--	'--	'--	'--	'--	'--
HCMI-CMDC	0a6a14db-ca5c-4bf9-9125-611d672bc67b	HCM-SANG-0271-D12	ae2b48ea-7255-4d3d-ba00-1def687c3606	HCM-SANG-0271-D12-10A	bcb558ac-e5bf-4b6c-af72-9b78b7b76722	HCM-SANG-0271-D12-10A-01	1560470400	False	'--	released	'--
HCMI-CMDC	0a6a14db-ca5c-4bf9-9125-611d672bc67b	HCM-SANG-0271-D12	b16a3a6b-b0b1-4749-afbc-aea8f4eb3a5d	HCM-SANG-0271-D12-85A	969f9275-6d55-52d2-8dd2-f1f9b2fe80c0	'--	'--	'--	'--	'--	'--
HCMI-CMDC	0a6a14db-ca5c-4bf9-9125-611d672bc67b	HCM-SANG-0271-D12	bc55eaf9-56fb-4f98-9fd8-2e80796b2873	HCM-SANG-0271-D12-10A-01D-A80T-32	37c906ca-d022-5148-80e7-df3435dc24c6	'--	'--	'--	'--	'--	'--
HCMI-CMDC	0a6a14db-ca5c-4bf9-9125-611d672bc67b	HCM-SANG-0271-D12	dc021e65-03cd-4210-a9b7-cdc971c22223	HCM-SANG-0271-D12-86A	28caf66e-84fb-5698-beb0-14d7cd74ed34	'--	'--	'--	'--	'--	'--
HCMI-CMDC	0a6a14db-ca5c-4bf9-9125-611d672bc67b	HCM-SANG-0271-D12	dc021e65-03cd-4210-a9b7-cdc971c22223	HCM-SANG-0271-D12-86A	3800471d-49fa-5950-9762-691fffaecd00	'--	'--	'--	'--	'--	'--
HCMI-CMDC	0a6a14db-ca5c-4bf9-9125-611d672bc67b	HCM-SANG-0271-D12	fa202911-ce39-476e-9631-e81ffb46a402	HCM-SANG-0271-D12-31B	a9aec562-c531-458d-95f1-768e2610aae7	HCM-SANG-0271-D12-31B-01	1575849600	False	'--	released	'--
HCMI-CMDC	0bbe1b04-f582-453c-9070-7aafc07912fe	HCM-CSHL-0366-C50	4d528888-ae64-4294-9f85-5094ea60aa74	HCM-CSHL-0366-C50-86A	c8c40e3f-abf3-5106-b801-acf7665e4cf3	'--	'--	'--	'--	'--	'--
HCMI-CMDC	0bbe1b04-f582-453c-9070-7aafc07912fe	HCM-CSHL-0366-C50	4d528888-ae64-4294-9f85-5094ea60aa74	HCM-CSHL-0366-C50-86A	e142b781-feb6-5c92-8379-dc334df60aeb	'--	'--	'--	'--	'--	'--
HCMI-CMDC	0bbe1b04-f582-453c-9070-7aafc07912fe	HCM-CSHL-0366-C50	8fd2a788-ea05-4cea-98c9-8d4540ab4983	HCM-CSHL-0366-C50-10A	82f91d8a-0381-4634-ac6f-dd379857d193	HCM-CSHL-0366-C50-10A-01	1554249600	False	'--	released	2.0
HCMI-CMDC	0bbe1b04-f582-453c-9070-7aafc07912fe	HCM-CSHL-0366-C50	be9394d6-6669-49e9-b20c-f3f260bfd47f	HCM-CSHL-0366-C50-01A	2870540c-9a5d-42f5-acd3-98194265117c	HCM-CSHL-0366-C50-01A-11	1554163200	False	'--	released	30.0
HCMI-CMDC	0bbe1b04-f582-453c-9070-7aafc07912fe	HCM-CSHL-0366-C50	f6fc7822-2891-4403-b9ee-f1348ad56685	HCM-CSHL-0366-C50-85B	3a94f702-0ccf-5596-be1a-8e13566e7a04	'--	'--	'--	'--	'--	'--
HCMI-CMDC	0bbe1b04-f582-453c-9070-7aafc07912fe	HCM-CSHL-0366-C50	f6fc7822-2891-4403-b9ee-f1348ad56685	HCM-CSHL-0366-C50-85B	e59515d8-e01d-5441-b22e-70f361cba16f	'--	'--	'--	'--	'--	'--
HCMI-CMDC	0bcca666-3c62-4eb9-a47c-93bb7c020ad6	HCM-WCMC-0673-C56	06b5706f-4330-435d-a6d8-6e98b5fad8e7	HCM-WCMC-0673-C56-85A	c2584ffd-3581-5d81-bee5-ae868f26a1e3	'--	'--	'--	'--	'--	'--
HCMI-CMDC	0bcca666-3c62-4eb9-a47c-93bb7c020ad6	HCM-WCMC-0673-C56	06b5706f-4330-435d-a6d8-6e98b5fad8e7	HCM-WCMC-0673-C56-85A	c23fefaa-ca76-5937-91b0-99161b551934	'--	'--	'--	'--	'--	'--
