treatmentid	sampleid	Dose	Response
Ivosidenib	140877	0.02992	86.18
Ivosidenib	140877	0.0798	86.34
Ivosidenib	140877	0.1995	85.35
Ivosidenib	140877	0.4988	86.4
Ivosidenib	140877	0.5087	86.63
Ivosidenib	140877	1.496	82.62
Ivosidenib	140877	3.99	68.75
Ivosidenib	140877	9.975	59.5
Ivosidenib	140877	24.94	47.45
Ivosidenib	140915	0.002095	82.94
Ivosidenib	140915	0.005187	94.23
Ivosidenib	140915	0.009975	81.57
Ivosidenib	140915	0.02992	86.8
Ivosidenib	140915	0.0798	102.32
Ivosidenib	140915	0.1995	117.95
Ivosidenib	140915	0.4988	116.72
Ivosidenib	140915	0.5087	86.14
Ivosidenib	140915	1.496	97.79
Ivosidenib	140915	3.99	66.95
Ivosidenib	140915	9.975	114.98
Ivosidenib	140915	24.94	45.01
Ivosidenib	140932	0.002095	72.04
Ivosidenib	140932	0.005187	61.16
Ivosidenib	140932	0.009975	65.95
Ivosidenib	140932	0.02992	86.79
Ivosidenib	140932	0.0798	79.07
Ivosidenib	140932	0.1995	62.49
Ivosidenib	140932	0.4988	56.58
Ivosidenib	140932	0.5087	55.4
Ivosidenib	140932	1.496	61.74
Ivosidenib	140932	3.99	46.91
Ivosidenib	140932	9.975	54.72
Ivosidenib	140932	24.94	55.46
Ivosidenib	140884	0.0021	98.04
Ivosidenib	140884	0.00519	90.27
Ivosidenib	140884	0.00998	100.43
Ivosidenib	140884	0.02992	88.1
Ivosidenib	140884	0.0798	94.8
Ivosidenib	140884	0.1995	95.44
Ivosidenib	140884	0.4988	102.28
Ivosidenib	140884	0.5087	96.92
Ivosidenib	140884	1.496	99.79
Ivosidenib	140884	3.99	101.49
Ivosidenib	140884	9.975	84.05
Ivosidenib	140884	24.94	90.62
Ivosidenib	140918	0.0021	101.51
Ivosidenib	140918	0.00519	83.01
Ivosidenib	140918	0.00998	100.07
Ivosidenib	140918	0.02992	97.68
Ivosidenib	140918	0.0798	83.27
Ivosidenib	140918	0.1995	82.55
Ivosidenib	140918	0.4988	108.11
Ivosidenib	140918	0.5087	101.25
Ivosidenib	140918	1.496	86.78
Ivosidenib	140918	3.99	88.91
Ivosidenib	140918	9.975	84.85
Ivosidenib	140918	24.94	84.96
Ivosidenib	150108	0.0021	79.41
Ivosidenib	150108	0.00519	86.45
Ivosidenib	150108	0.00998	76.2
Ivosidenib	150108	0.02992	104.47
Ivosidenib	150108	0.0798	87.39
Ivosidenib	150108	0.1995	118.88
Ivosidenib	150108	0.4988	78.85
Ivosidenib	150108	0.5087	95.13
Ivosidenib	150108	1.496	96.84
Ivosidenib	150108	3.99	101.29
Ivosidenib	150108	9.975	75.55
Ivosidenib	150108	24.94	62.26
Ivosidenib	160005	0.0021	101.54
Ivosidenib	160005	0.00519	112.1
Ivosidenib	160005	0.00998	87.94
Ivosidenib	160005	0.02992	89.33
Ivosidenib	160005	0.0798	108.89
Ivosidenib	160005	0.1995	87.11
Ivosidenib	160005	0.4988	100.82
Ivosidenib	160005	0.5087	86.65
Ivosidenib	160005	1.496	109.77
Ivosidenib	160005	3.99	108.55
Ivosidenib	160005	9.975	100.42
Ivosidenib	160005	24.94	65.47
Midostaurin	130695	0.0021	86.451
Midostaurin	130695	0.0052	76.845
Midostaurin	130695	0.01	61.78
Midostaurin	130695	0.0299	55.511
Midostaurin	130695	0.0798	69.666
Midostaurin	130695	0.1995	95.753
Midostaurin	130695	0.4988	33.266
Midostaurin	130695	0.5087	34.277
Midostaurin	130695	1.496	32.154
Midostaurin	130695	3.99	19.312
Midostaurin	130695	9.975	16.582
Midostaurin	130695	24.94	22.548
Midostaurin	140005	0.0021	86.152
Midostaurin	140005	0.0052	92.111
