"common_name","cancer_type","other_names","species","improve_sample_id","id_source","other_id","model_type"
"CACO2","Colon Adenocarcinoma","CaCo2","Homo sapiens (Human)",3,"Sanger","SIDM00891","cell line"
"CACO2","Colon Adenocarcinoma","CaCo2","Homo sapiens (Human)",3,"CCLE","CACO2_LARGE_INTESTINE","cell line"
"CACO2","Colon Adenocarcinoma","CaCo2","Homo sapiens (Human)",3,"Cellosaurus","CVCL_0025","cell line"
"CACO2","Colon Adenocarcinoma","CaCO2","Homo sapiens (Human)",3,"DepMap","ACH-000003","cell line"
"CACO2","Colon Adenocarcinoma","CaCO2","Homo sapiens (Human)",3,"Sanger","SIDM00891","cell line"
"CACO2","Colon Adenocarcinoma","CaCO2","Homo sapiens (Human)",3,"CCLE","CACO2_LARGE_INTESTINE","cell line"
"CACO2","Colon Adenocarcinoma","CaCO2","Homo sapiens (Human)",3,"Cellosaurus","CVCL_0025","cell line"
"CACO2","Colon Adenocarcinoma","Caco2","Homo sapiens (Human)",3,"DepMap","ACH-000003","cell line"
"CACO2","Colon Adenocarcinoma","Caco2","Homo sapiens (Human)",3,"Sanger","SIDM00891","cell line"
"CACO2","Colon Adenocarcinoma","Caco2","Homo sapiens (Human)",3,"CCLE","CACO2_LARGE_INTESTINE","cell line"
"CACO2","Colon Adenocarcinoma","Caco2","Homo sapiens (Human)",3,"Cellosaurus","CVCL_0025","cell line"
"CACO2","Colon Adenocarcinoma","Caco-2/ATCC","Homo sapiens (Human)",3,"DepMap","ACH-000003","cell line"
"CACO2","Colon Adenocarcinoma","Caco-2/ATCC","Homo sapiens (Human)",3,"Sanger","SIDM00891","cell line"
"CACO2","Colon Adenocarcinoma","Caco-2/ATCC","Homo sapiens (Human)",3,"CCLE","CACO2_LARGE_INTESTINE","cell line"
"CACO2","Colon Adenocarcinoma","Caco-2/ATCC","Homo sapiens (Human)",3,"Cellosaurus","CVCL_0025","cell line"
"CACO2","Colon Adenocarcinoma","Caco-II","Homo sapiens (Human)",3,"DepMap","ACH-000003","cell line"
"CACO2","Colon Adenocarcinoma","Caco-II","Homo sapiens (Human)",3,"Sanger","SIDM00891","cell line"
"CACO2","Colon Adenocarcinoma","Caco-II","Homo sapiens (Human)",3,"CCLE","CACO2_LARGE_INTESTINE","cell line"
"CACO2","Colon Adenocarcinoma","Caco-II","Homo sapiens (Human)",3,"Cellosaurus","CVCL_0025","cell line"
"HEL","Acute Myeloid Leukemia","HEL","Homo sapiens (Human)",4,"DepMap","ACH-000004","cell line"
"HEL","Acute Myeloid Leukemia","HEL","Homo sapiens (Human)",4,"Sanger","SIDM00594","cell line"
"HEL","Acute Myeloid Leukemia","HEL","Homo sapiens (Human)",4,"CCLE","HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","cell line"
"HEL","Acute Myeloid Leukemia","HEL","Homo sapiens (Human)",4,"COSMIC","907053","cell line"
"HEL","Acute Myeloid Leukemia","HEL","Homo sapiens (Human)",4,"WTSI","783","cell line"
"HEL","Acute Myeloid Leukemia","HEL","Homo sapiens (Human)",4,"Cellosaurus","CVCL_0001","cell line"
"HEL","Acute Myeloid Leukemia","Hel","Homo sapiens (Human)",4,"DepMap","ACH-000004","cell line"
"HEL","Acute Myeloid Leukemia","Hel","Homo sapiens (Human)",4,"Sanger","SIDM00594","cell line"
"HEL","Acute Myeloid Leukemia","Hel","Homo sapiens (Human)",4,"CCLE","HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","cell line"
"HEL","Acute Myeloid Leukemia","Hel","Homo sapiens (Human)",4,"COSMIC","907053","cell line"
"HEL","Acute Myeloid Leukemia","Hel","Homo sapiens (Human)",4,"WTSI","783","cell line"
"HEL","Acute Myeloid Leukemia","Hel","Homo sapiens (Human)",4,"Cellosaurus","CVCL_0001","cell line"
"HEL","Acute Myeloid Leukemia","GM06141","Homo sapiens (Human)",4,"DepMap","ACH-000004","cell line"
"HEL","Acute Myeloid Leukemia","GM06141","Homo sapiens (Human)",4,"Sanger","SIDM00594","cell line"
"HEL","Acute Myeloid Leukemia","GM06141","Homo sapiens (Human)",4,"CCLE","HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","cell line"
"HEL","Acute Myeloid Leukemia","GM06141","Homo sapiens (Human)",4,"COSMIC","907053","cell line"
"HEL","Acute Myeloid Leukemia","GM06141","Homo sapiens (Human)",4,"WTSI","783","cell line"
"HEL","Acute Myeloid Leukemia","GM06141","Homo sapiens (Human)",4,"Cellosaurus","CVCL_0001","cell line"
"HEL","Acute Myeloid Leukemia","GM06141B","Homo sapiens (Human)",4,"DepMap","ACH-000004","cell line"
"HEL","Acute Myeloid Leukemia","GM06141B","Homo sapiens (Human)",4,"Sanger","SIDM00594","cell line"
"HEL","Acute Myeloid Leukemia","GM06141B","Homo sapiens (Human)",4,"CCLE","HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","cell line"
"HEL","Acute Myeloid Leukemia","GM06141B","Homo sapiens (Human)",4,"COSMIC","907053","cell line"
"HEL","Acute Myeloid Leukemia","GM06141B","Homo sapiens (Human)",4,"WTSI","783","cell line"
"HEL","Acute Myeloid Leukemia","GM06141B","Homo sapiens (Human)",4,"Cellosaurus","CVCL_0001","cell line"
"HEL","Acute Myeloid Leukemia","Human ErythroLeukemia","Homo sapiens (Human)",4,"DepMap","ACH-000004","cell line"
"HEL","Acute Myeloid Leukemia","Human ErythroLeukemia","Homo sapiens (Human)",4,"Sanger","SIDM00594","cell line"
"HEL","Acute Myeloid Leukemia","Human ErythroLeukemia","Homo sapiens (Human)",4,"CCLE","HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","cell line"
"HEL","Acute Myeloid Leukemia","Human ErythroLeukemia","Homo sapiens (Human)",4,"COSMIC","907053","cell line"
"HEL","Acute Myeloid Leukemia","Human ErythroLeukemia","Homo sapiens (Human)",4,"WTSI","783","cell line"
"HEL","Acute Myeloid Leukemia","Human ErythroLeukemia","Homo sapiens (Human)",4,"Cellosaurus","CVCL_0001","cell line"
"HEL 92.1.7","Acute Myeloid Leukemia","HEL 92.1.7","Homo sapiens (Human)",5,"DepMap","ACH-000005","cell line"
"HEL 92.1.7","Acute Myeloid Leukemia","HEL 92.1.7","Homo sapiens (Human)",5,"Sanger","SIDM00593","cell line"
"HEL 92.1.7","Acute Myeloid Leukemia","HEL 92.1.7","Homo sapiens (Human)",5,"CCLE","HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","cell line"
"HEL 92.1.7","Acute Myeloid Leukemia","HEL 92.1.7","Homo sapiens (Human)",5,"Cellosaurus","CVCL_2481","cell line"
"HEL 92.1.7","Acute Myeloid Leukemia","HEL92.1.7","Homo sapiens (Human)",5,"DepMap","ACH-000005","cell line"
"HEL 92.1.7","Acute Myeloid Leukemia","HEL92.1.7","Homo sapiens (Human)",5,"Sanger","SIDM00593","cell line"
"HEL 92.1.7","Acute Myeloid Leukemia","HEL92.1.7","Homo sapiens (Human)",5,"CCLE","HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","cell line"
"HEL 92.1.7","Acute Myeloid Leukemia","HEL92.1.7","Homo sapiens (Human)",5,"Cellosaurus","CVCL_2481","cell line"
"HEL 92.1.7","Acute Myeloid Leukemia","HEL-92.1.7","Homo sapiens (Human)",5,"DepMap","ACH-000005","cell line"
"HEL 92.1.7","Acute Myeloid Leukemia","HEL-92.1.7","Homo sapiens (Human)",5,"Sanger","SIDM00593","cell line"
"HEL 92.1.7","Acute Myeloid Leukemia","HEL-92.1.7","Homo sapiens (Human)",5,"CCLE","HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","cell line"
"HEL 92.1.7","Acute Myeloid Leukemia","HEL-92.1.7","Homo sapiens (Human)",5,"Cellosaurus","CVCL_2481","cell line"
"HEL 92.1.7","Acute Myeloid Leukemia","HEL-92-1-7","Homo sapiens (Human)",5,"DepMap","ACH-000005","cell line"
"HEL 92.1.7","Acute Myeloid Leukemia","HEL-92-1-7","Homo sapiens (Human)",5,"Sanger","SIDM00593","cell line"
"HEL 92.1.7","Acute Myeloid Leukemia","HEL-92-1-7","Homo sapiens (Human)",5,"CCLE","HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","cell line"
"HEL 92.1.7","Acute Myeloid Leukemia","HEL-92-1-7","Homo sapiens (Human)",5,"Cellosaurus","CVCL_2481","cell line"
"HEL 92.1.7","Acute Myeloid Leukemia","HEL-92_1_7","Homo sapiens (Human)",5,"DepMap","ACH-000005","cell line"
"HEL 92.1.7","Acute Myeloid Leukemia","HEL-92_1_7","Homo sapiens (Human)",5,"Sanger","SIDM00593","cell line"
"HEL 92.1.7","Acute Myeloid Leukemia","HEL-92_1_7","Homo sapiens (Human)",5,"CCLE","HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","cell line"
"HEL 92.1.7","Acute Myeloid Leukemia","HEL-92_1_7","Homo sapiens (Human)",5,"Cellosaurus","CVCL_2481","cell line"
"HEL 92.1.7","Acute Myeloid Leukemia","HEL-92","Homo sapiens (Human)",5,"DepMap","ACH-000005","cell line"
"HEL 92.1.7","Acute Myeloid Leukemia","HEL-92","Homo sapiens (Human)",5,"Sanger","SIDM00593","cell line"
"HEL 92.1.7","Acute Myeloid Leukemia","HEL-92","Homo sapiens (Human)",5,"CCLE","HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","cell line"
"HEL 92.1.7","Acute Myeloid Leukemia","HEL-92","Homo sapiens (Human)",5,"Cellosaurus","CVCL_2481","cell line"
"HEL 92.1.7","Acute Myeloid Leukemia","HEL9217","Homo sapiens (Human)",5,"DepMap","ACH-000005","cell line"
"HEL 92.1.7","Acute Myeloid Leukemia","HEL9217","Homo sapiens (Human)",5,"Sanger","SIDM00593","cell line"
"HEL 92.1.7","Acute Myeloid Leukemia","HEL9217","Homo sapiens (Human)",5,"CCLE","HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","cell line"
"HEL 92.1.7","Acute Myeloid Leukemia","HEL9217","Homo sapiens (Human)",5,"Cellosaurus","CVCL_2481","cell line"
"MONO-MAC-6","Acute Monoblastic/Monocytic Leukemia","Mono-Mac-6","Homo sapiens (Human)",6,"DepMap","ACH-000006","cell line"
"MONO-MAC-6","Acute Monoblastic/Monocytic Leukemia","Mono-Mac-6","Homo sapiens (Human)",6,"Sanger","SIDM01023","cell line"
"MONO-MAC-6","Acute Monoblastic/Monocytic Leukemia","Mono-Mac-6","Homo sapiens (Human)",6,"CCLE","MONOMAC6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","cell line"
